t_row_id,t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,1,2,3,rank
35,2023-05-19,202305,2,111429493,21101020039,1684400787706,nan,,BARUN KHANEPANI SEWA PVT. LTD,AQUA MB,AQUA RB/20/LTRS/JAR,0.0,20 LTRS,PET,Delete the Item,1684400787706-barun khanepani sewa pvt- ltd-aqua mb#3.png,DELETE THE ITEM,1,48588,99762304,90710186,1
36,2023-05-19,202305,2,111429493,21101020039,1684399789159,99765025,134.0,MB BEVERAGE UDHYOG-NEPAL,AQUA MB,AQUA MB/900/ML/PET/MB BEVERAGE UDHYOG/NEPAL,50.0,900 ML,PET,Sales Deviation is OK,1684399789159-mb beverage udhyog-nepal-aqua mb#3.png,RECODING,5,99765025,None,None,1
39,2023-05-23,202305,2,126633897,22202020032,1684547505417,99765029,134.0,SMART PRASODHIT PANI UDHYOG-NP,HIMALIYA,HIMALIYA\1000ML\PBT\MINERAL WATER ,25.0,1000ML,PBT,Sales Deviation is OK,,RECODING,5,99765029,52795,99765435,1
41,2023-05-23,202305,2,128303320,22202020019,1684550678516,99765022,134.0,SHAMBHAVI FOOD&BEVERAGE PVT.LTD NEPAL ,JUSICA,JUSICA\250ML\PBT\MANGO ,50.0,250ML,PBT,,,RECODING,5,99765022,99765313,99765285,1
40,2023-05-23,202305,2,126633897,22202020032,1684550678516,99765022,134.0,SHAMBHAVI FOOD&BEVERAGE PVT.LTD NEPAL ,JUSICA,JUSICA\250ML\PBT\MANGO ,50.0,250ML,PBT,Sales Deviation is OK,1684550678516-shambhavi food-beverage pvt-ltd nepal -jusica#3.png,RECODING,5,99765022,99765313,99765285,1
44,2023-05-23,202305,2,132861574,31303020017,1684653834844,99765028,134.0,FRUIT AGRO PRODUCT-NEPAL,FRUIT JUMP ,FRUIT JUMP-PINEAPPLE TPK 200ML,25.0,200ML,TPK,,1684653834844-fruit agro product-nepal-fruit jump #3.png,RECODING,5,99765028,99763461,51774,1
45,2023-05-23,202305,2,122331327,31101020086,1684666492788,99765018,134.0,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER LITCHI\1000ML\PET\RS:170\DABUR NEPAL LTD,170.0,1000ML,PET,,1684666492788-dabur nepal ltd--nepal-real fruit power#3.png,RECODING,5,99765018,99765365,99763709,1
42,2023-05-23,202305,2,127722647,22202020006,1684547505417,99765029,134.0,SMART PRASODHIT PANI UDHYOG-NP,HIMALIYA,HIMALIYA\1000ML\PBT\MINERAL WATER ,25.0,1000ML,PBT,Sales Deviation is OK,,RECODING,5,99765029,52795,99765435,1
43,2023-05-23,202305,2,127285960,22202020003,1684547505417,99765029,134.0,SMART PRASODHIT PANI UDHYOG-NP,HIMALIYA,HIMALIYA\1000ML\PBT\MINERAL WATER ,25.0,1000ML,PBT,Sales Deviation is OK,,RECODING,5,99765029,52795,99765435,1
46,2023-05-23,202305,2,122331327,31101020086,1684485865605,99764921,134.0,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,APPY FIZZ,APPY FIZZ\160ML\PET\RS:30\SOUTH ASIAN BEVRAGES PVT.LTD NEPAL,30.0,160ML,PET,,,CROSS CODING,2,99765076,99764921,99763443,1
